日期,領域,類別,任務描述,狀態,備註|建議事項
7月24日,重點摘要,冷凍電顯,mrc2tif Test : intergate to script ,進行中,評估壓轉檔後SIZ壓縮率
7月23日,重點摘要,資安|稽核,資安事件追蹤與處理 - EVENT #13472] (新建立) 【系統弱點通報】資安院通報(11507) 貴單位外部資產存有潛在安全風險，請儘速確認、修補並回報,已完備,cryoem.project.sinica.edu.tw 是本設施官網置放院內網頁寄存服務！相關防火牆及伺服器權限非有權限！由系統組控管已去信回覆！
7月23日,重點摘要,冷凍電顯,CEM4 Run4,進行中,
7月22日,重點摘要,資安|稽核,資安宣導】7月中旬電子郵件社交工程演練提醒 / [Cybersecurity Advisory] Reminder for Mid-July Phishing Simulation Exercise,進行中,
7月21日,重點摘要,資安|稽核,#13463: 【漏洞預警】SonicWall SMA 1000系列存在多項高風險安全漏洞(CVE-2026-15409與CVE-2026-15410)，請儘速確認並進行修補,已完備,未使用該項設備/產品
7月20日,重點摘要,資安|稽核,其他 #13452] (新建立) [AS-ITS] 電腦安全檢測教育訓練,進行中,資訊服務處每年定期辦理筆記型電腦之資訊安全檢測教育訓練，厚植各所中心自行執行資安檢測技術能力，各所中心應指派資安或資訊人員(組織樹中的檢測人員)參與資訊安全檢測教育訓練，若該人員已離職，請指派新的同仁參與，並由資訊服務處訂定相關檢測原則規範供檢測人員遵循，請上人事訓練系統報名，課程結束給予專業時數1小時。
