日期,領域,類別,任務描述,狀態,備註|建議事項
7月30日,重點摘要,資安|稽核,資安預警情資通報 #13543] (新建立) DN 與 IP 黑名單 (NICST+ACSI-Update_0730),,ASCEM已更新黑名單
7月29日,重點摘要,資安|稽核,資安事件追蹤與處理 - OTHER #13537] (已處理) [AS-ITS]【SOC設備收容與導入】_設備 Log 收容處理與導入,已完備,本設施業已更換新防火牆逾半年送出logs: 140.109.236.34 PA-410
7月29日,重點摘要,資安|稽核,資安事件追蹤與處理 - EVENT #13472] (新建立) 【系統弱點通報】資安院通報(11507) 貴單位外部資產存有潛在安全風險，請儘速確認、修補並回報,已完備,"cryoem.project.sinica.edu.tw 是本設施官網置放院內網頁寄存服務！相關防火牆及伺服器權限非有權限！由系統組控管已去信回覆！洽詢單號：20260729030
洽詢時間：2026-07-29 16:29:55
洽詢內容：EVENT #13472: 【系統弱點通報】資安院通報(11507) 貴單位外部資產存有潛在安全風險，請儘速確認、修補並回報 https://csirt.its.sinica.edu.tw/issues/13472#change-31702 * 作者: 王志正 * 狀態: 進行中 * 優先權: Normal * 開始日期: 2026-07-23 * 完成日期: 2026-07-30 * 原通報單位: 資安科 * 被通報單位 : 冷凍電顯中心 * 事件屬性: 通知事項 * 來源分類: 院外通報院內 * 來源單位: 國家資通安全研究院（原技服中心） 依資安院通報(事件編號：NICS-EWA-2026-0001501)，經 EASM (External Attack Surface Management) 軟體檢測發現，貴單位之外部資產可能存有潛在安全弱點(詳附件)， 請儘速完成確認與弱點修補作業，並請於一週內完成回報。 外部資產 cryoem.project.sinica.edu.tw 是本設施官網置放院內""網頁寄存服務""！ 網頁寄存服務之虛擬主機：相關防火牆及伺服器權限管控權限為系統組，煩請協助聯繫資服處系統組相關網管人員，進行處理資安防護事宜！ 謝謝！
回覆內容：您所提供的弱點部份，資訊處已修補完成該系統，還煩請依資安要求之通報方式回報，感謝。"
7月29日,重點摘要,資安|稽核,【資安專業】電腦安全檢測 2026.07.29 (三) 14:00 行政大樓一樓多媒體簡報室 & Google Meet,已完備,
7月29日,重點摘要,冷凍電顯,CEM4 Run5,已完備,
7月28日,重點摘要,資安|稽核,"#13522: 【漏洞預警】WordPress存在兩項高風險安全漏洞(CVE-2026-60137與CVE-2026-63030)，請儘速確認並進行修補
> https://csirt.its.sinica.edu.tw/issues/13522",已完備,ASCEM未使用該項設備/產品
7月27日,重點摘要,資安|稽核,其他 #13523] (新建立) 【開會通知】ISMS顧問案所中心輔導暨稽核說明會將於115年8月3日(一)上午10時召開,已完備,IBC主導
7月27日,重點摘要,資安|稽核,新公文通知 請配合導入數位發展部115年新增之政府組態基準（GCB）,已完備,"轉知GCB的新增項目，再麻煩各位同仁自行排定行程套用。
(一)網通設備：Fortinet Fortigate 防火牆設備（適用於FortiOS 7.X 版本）。
(二)瀏覽器：Safari。
(三)作業系統：Apple macOS 15。
(四)雲端服務：Amazon Web Services 基礎環境。
P.S. 請注意 GCB 若有列出版本，即該""版本""才需要套用，將設備更新至新版可免於套用該項目。
完整需套用 GCB 項目請參考 https://www.nics.nat.gov.tw/core_business/cybersecurity_defense/GCB/"
7月27日,重點摘要,資安|稽核,資安預警情資通報 #13522] (新建立) 【漏洞預警】WordPress存在兩項高風險安全漏洞(CVE-2026-60137與CVE-2026-63030)，請儘速確認並進行修補,已完備,ASCEM未使用該項設備/產品
