日期,領域,類別,任務描述,狀態,備註|建議事項
9月11日,off,off,off,,
9月11日,重點摘要,資安|稽核,調整9/23會議至9/29)Re: 115下半年度ISMS輔導會議 - 資安長出席時間,進行中,"與顧問協調，延至9/29召開內稽活動。

日期: 9/29 9點開始。

地點: R102"
9月09日,重點摘要,資安|稽核,資安預警情資通報 #13764] (新建立) 【漏洞預警】Microsoft Exchange Server存在高風險安全漏洞(CVE-2026-62911),已完備,未使用該項設備/產品
9月08日,重點摘要,資安|稽核,【課程通知】9月23日 14:00「資安服務整合型軟體第1次產品操作教育訓練課程」,進行中,"為協助各位熟悉資安服務整合型軟體（GCB、VANS）之操作與應用，特辦理「資安服務整合型軟體第1次產品操作教育訓練課程」，敬請撥冗參加為協助各位熟悉資安服務整合型軟體（GCB、VANS）之操作與應用，特辦理「資安服務整合型軟體第1次產品操作教育訓練課程」，敬請撥冗參加。
*更新資訊：檢送本課程「產品操作教育訓練課程表」及「中文版簡報教材」，敬請參閱。現場出席及線上參與會議皆可簽到。*

課程相關資訊如下：
課程名稱： 資安服務整合型軟體第1次產品操作教育訓練課程
課程時間： 115年9月23日（星期三）14:00～16:00
課程地點： 行政大樓1樓多媒體簡報室
線上課程連結： https://teams.microsoft.com/meet/440419649008178?p=htWr1LhJu4wfiAWdf6"
9月07日,重點摘要,資安|稽核,資安預警情資通報 #13751] (新建立) 【漏洞預警】Veeam ONE存在2項高風險安全漏洞(CVE-2026-64633與CVE-2026-65641),已完備,未使用該項設備/產品
9月07日,重點摘要,資安|稽核,資安預警情資通報 #13750] (新建立) 【漏洞預警】Splunk Enterprise存在多項高風險安全漏洞,已完備,未使用該項設備/產品
9月07日,重點摘要,資安|稽核,資安預警情資通報 #13747] (新建立) 【漏洞預警】綠色運算NUMail存在高風險安全漏洞(CVE-2026-82082),已完備,未使用該項設備/產品
