work_log,,,,,
日期,領域,類別,任務描述,狀態,備註
5月18日,重點摘要,資安|稽核,【漏洞預警】Ivanti Endpoint Manager(EPM)與Endpoint Manager Mobile(EPMM)存在高風險安全漏洞(CVE-2026-5786、CVE-2026-5787及CVE-2026-8111)，請儘速確認並進行修補,已完備,未使用該項設備/產品
5月18日,重點摘要,資訊,資訊類清單_Fwd: 請依院方規定進行115年度財產及物品盤點(自即日起至6月30日止),進行中,依院方規定進行115年度財產及物品盤點(自即日起至6月30日止)
5月20日,管理指標,稽核,【漏洞預警】Palo Alto Networks PAN-OS 存在高風險安全漏洞(CVE-2026-0300)，設施防火牆修補更新完成：版本：11.1.4 h7--->11.1.4.h33,已完備,5/20 排程防火牆更新
5月21日,重點摘要,資安|稽核,資安健診網路架構: 後續追蹤事項 > 設施新防火牆設定的相關截圖佐證！,已完備,
5月22日,相關連結,資訊,ASCEM 官網更新：新增發表一篇: Asymmetric dimeric assembly of Suv3 helicase facilitates processive RNA unwinding.,已完備,https://cryoem.project.sinica.edu.tw/index-C.html 
5月22日,OFF,OFF,- -,,- -
