日期,領域,類別,任務描述,狀態,備註
5月11日,管理指標,稽核,資安預警情資通報 #13103: 【漏洞預警】Palo Alto Networks PAN-OS 存在高風險安全漏洞(CVE-2026-0300)，請儘速確認並進行修補,進行中,排程防火牆更新
5月11日,重點摘要,資訊,資訊類清單_Fwd: 請依院方規定進行115年度財產及物品盤點(自即日起至6月30日止),進行中,依院方規定進行115年度財產及物品盤點(自即日起至6月30日止)
5月12日,相關連結,資訊,ASCEM 官網更新：新增公告(液氮桶及樣品清理通知|CEM2 復機)_設施訊息(配合院方進行台視「發現科學 - 行動實驗室」節目（７月份）採訪及拍攝事宜。)更新!,已完備,https://cryoem.project.sinica.edu.tw/index-C.html | https://cryoem.project.sinica.edu.tw/announcement-C.html
5月13日,重點摘要,電顯,Talos 計算主機Nvidia GPU顯示卡*4 異常已排除: 運作環境及參數校正,已完備,運作環境及參數校正: ascemTalos_1|2 MotionCr2 運行正常！(Supermicro 全機保內至115/12/30)
5月14日,重點摘要,資訊|稽核,防火牆LOG Server | NAS-Synology硬碟擴充: 4TB*4 Raid 5 = 10TB ,已完備,因應稽核管審：LOG保存至少6個月以上
5月15日,資安,稽核,開通常態性服務：0.0.0.0 > campus | 140.109.236.32/27 > 0.0.0.0 ALL <== 原誤植 1401.09.235.32/27 資安科審核流程重送(儀管科林博士),已完備,電顯遠控|ANYDESK: 取像及批次傳輸之網路(資服處代學儀處申請: 2025/09/03-2026/12/15 申請日期: 2025/08/27)
5月15日,OFF,OFF,- - PS: PM OFF,,
